Uni_ID;Trav_Origin;Trav_Des;N_traveler;N_ESBLpos;ESBL_prev;Unit ;Dur_trav;Unit_DurTrav;Trav_Conti;Dur_study;Ref
1;Germany;Southeast asia;46;;67;percent;45;MedianDays;Southeast Asia;2010-2014;Angelin et al 2015
1;Germany;Africa;40;;10;percent;45;MedianDays;Africa;2010-2014;Angelin et al 2015
1;Germany;North America;3;;0;percent;45;MedianDays;Americas;2010-2014;Angelin et al 2015
1;Germany;Aegentina;2;;0;percent;45;MedianDays;Americas;2010-2014;Angelin et al 2015
1;Germany;Uzbekistan;2;;0;percent;45;MedianDays;Central Asia;2010-2014;Angelin et al 2015
1;Germany;Brazil;1;;0;percent;45;MedianDays;Americas;2010-2014;Angelin et al 2015
1;Germany;Canada ;1;;0;percent;45;MedianDays;Americas;2010-2014;Angelin et al 2015
1;Germany;Costa Rica;1;;0;percent;45;MedianDays;Americas;2010-2014;Angelin et al 2015
1;Germany;Israel;1;;0;percent;45;MedianDays;Western Asia;2010-2014;Angelin et al 2015
1;Germany;United Kingdom;1;;0;percent;45;MedianDays;Europe;2010-2014;Angelin et al 2015
1;Germany;Uruguay;1;;0;percent;45;MedianDays;Americas;2010-2014;Angelin et al 2015
1;Germany;India;30;;70;percent;45;MedianDays;Southern Asia;2010-2014;Angelin et al 2015
1;Germany;Cameroon;22;;14;percent;45;MedianDays;Africa;2010-2014;Angelin et al 2015
1;Germany;Vietnam;7;;86;percent;45;MedianDays;Southeast Asia;2010-2014;Angelin et al 2015
2;Netherlands;India ;79;70;88.61;percent;20.85;MeanDays;Southern Asia;2001;Arcilla et al 2017
2;Netherlands;Egypt ;30;24;80;percent;11.83;MeanDays;Americas;2001;Arcilla et al 2017
2;Netherlands;Nepal;29;23;79.31;percent;21.48;MeanDays;Southeast Asia;2001;Arcilla et al 2017
2;Netherlands;Vietnam ;36;26;72.22;percent;23.14;MeanDays;Southeast Asia;2001;Arcilla et al 2017
2;Netherlands;Peru;20;12;60;percent;21.5;MeanDays;Americas;2001;Arcilla et al 2017
2;Netherlands;China;67;36;53.73;percent;19.9;MeanDays;Eastern Asia;2001;Arcilla et al 2017
2;Netherlands;Myanmar;15;8;53.33;percent;19.2;MeanDays;Southeast Asia;2001;Arcilla et al 2017
2;Netherlands;Thailand ;89;46;51.69;percent;19.27;MeanDays;Southeast Asia;2001;Arcilla et al 2017
2;Netherlands;Sri Lanka;43;22;51.16;percent;19.77;MeanDays;Southern Asia;2001;Arcilla et al 2017
2;Netherlands;Malaysia;27;12;25;percent;21.7;MeanDays;Southeast Asia;2001;Arcilla et al 2017
2;Netherlands;Indonesia;16;7;18.69;percent;9.38;MeanDays;Southeast Asia;2001;Arcilla et al 2017
2;Netherlands;Uganda;20;8;44.44;percent;18.6;MeanDays;Africa;2001;Arcilla et al 2017
2;Netherlands;Turkey;30;10;43.75;percent;19.37;MeanDays;Western Asia;2001;Arcilla et al 2017
2;Netherlands;Ghana;28;7;40;percent;19.39;MeanDays;Africa;2001;Arcilla et al 2017
2;Netherlands;Kenya;57;14;33.33;percent;17.72;MeanDays;Africa;2001;Arcilla et al 2017
2;Netherlands;Tanzania;36;8;24.56;percent;13.72;MeanDays;Africa;2001;Arcilla et al 2017
2;Netherlands;Morroco;18;4;22.22;percent;15.06;MeanDays;Africa;2001;Arcilla et al 2017
2;Netherlands;Mexico;211;40;22.22;percent;22.86;MeanDays;Americas;2001;Arcilla et al 2017
2;Netherlands;Gambia;49;8;16.33;percent;13.65;MeanDays;Africa;2001;Arcilla et al 2017
2;Netherlands;Brazil;25;2;8;percent;20;MeanDays;Americas;2001;Arcilla et al 2017
2;Netherlands;South africa;66;3;4.55;percent;21.35;MeanDays;Africa;2001;Arcilla et al 2017
2;Netherlands;Suriname;56;2;3.57;percent;26.75;MeanDays;Americas;2001;Arcilla et al 2017
3;Switzerland;India;68;56;86.8;percent;14-20;days;Southeast Asia;2013;Kuenzli et al 2014
3;Switzerland;Bhutan;49;11;78.6;percent;14-20;days;Southeast Asia;2013;Kuenzli et al 2014
3;Switzerland;Nepal;39;31;79.5;percent;14-20;days;Southeast Asia;2013;Kuenzli et al 2014
3;Switzerland;Sri Lanka;14;17;34.7;percent;14-20;days;Southeast Asia;2013;Kuenzli et al 2014
4;Canada;Outside EU;193;;28.2;percent;21;MedianDays;Outside EU;2013;Lubbert et al 2015
4;Canada;North America;2;0;0;percent;21;MedianDays;Americas;2013;Lubbert et al 2015
4;Canada;East EU;2;0;0;percent;21;MedianDays;Europe;2013;Lubbert et al 2015
4;Canada;Central America and Carribean ;15;1;7.0;percent;21;MedianDays;Americas;2013;Lubbert et al 2015
4;Canada;South America;63;5;8.0;percent;21;MedianDays;Americas;2013;Lubbert et al 2015
4;Canada;South africa;15;2;11.4;percent;21;MedianDays;South africa;2013;Lubbert et al 2015
4;Canada;Asia;10;1;13.6;percent;21;MedianDays;Asia;2013;Lubbert et al 2015
4;Canada;South Europe;8;2;25.3;percent;21;MedianDays;Europes;2013;Lubbert et al 2015
4;Canada;East Africa;55;14;25.7;percent;21;MedianDays;Africa;2013;Lubbert et al 2015
4;Canada;West and Central Africa;23;9;38.5;percent;21;MedianDays;Africa;2013;Lubbert et al 2015
4;Canada;Southeast asia;66;32;47.9;percent;21;MedianDays;Asia;2013;Lubbert et al 2015
4;Canada;India;15;11;73.3;percent;21;MedianDays;Asia;2013;Lubbert et al 2015
5;Sweden;Europe;15;0;0;percent;16;MedianDays;Europe;2008-2009;Ostholm et al 2013
5;Sweden;South africa;71;16;22;percent;16;MedianDays;South africa;2008-2009;Ostholm et al 2013
5;Sweden;North Africa;30;6;19;percent;16;MedianDays;North Africa;2008-2009;Ostholm et al 2013
5;Sweden;Asia;58;22;38;percent;16;MedianDays;Asia;2008-2009;Ostholm et al 2013
5;Sweden;India subcontinent;14;2;15;percent;16;MedianDays;India subcontinent;2008-2009;Ostholm et al 2013
5;Sweden;Australia and Oceania;2;0;0;percent;16;MedianDays;Australia and Oceania;2008-2009;Ostholm et al 2013
5;Sweden;South America;29;2;7;percent;16;MedianDays;South America;2008-2009;Ostholm et al 2013
5;Sweden;North America;16;0;0;percent;16;MedianDays;North America;2008-2009;Ostholm et al 2013
6;Netherlands;Outside EU;370;115;31;percent;25;MeanDays;Outside EU;2011;Paltansing et al 2013
6;Netherlands;Southeast asia;110;37;34;percent;27;MeanDays;Southeast asia;2011;Paltansing et al 2013
6;Netherlands;East asia;33;22;67;percent;24;MeanDays;East asia;2011;Paltansing et al 2013
6;Netherlands;South asia;25;18;72;percent;24;MeanDays;South asia;2011;Paltansing et al 2013
6;Netherlands;central asia;3;1;30;percent;31;MeanDays;central asia;2011;Paltansing et al 2013
6;Netherlands;North Africa;10;4;40;percent;11.2;MeanDays;North Africa;2011;Paltansing et al 2013
6;Netherlands;Central Aftrica;56;17;30;percent;29;MeanDays;Central Aftrica;2011;Paltansing et al 2013
6;Netherlands;Southern Africa;26;3;12;percent;25;MeanDays;Southern Africa;2011;Paltansing et al 2013
6;Netherlands;Middle east;15;2;13;percent;14.8;MeanDays;Middle east;2011;Paltansing et al 2013
6;Netherlands;Central America and Carribean ;28;7;25;percent;19;MeanDays;Central America and Carribean ;2011;Paltansing et al 2013
6;Netherlands;South America;32;2;6;percent;29;MeanDays;South America;2011;Paltansing et al 2013
7;Canada;South asia;109;2;2;percent;10 to 38;Days;South asia;2012 to 2014;Peirano et al 2017
7;Canada;India;90;66;73;percent;10 to 38;Days;India;2012 to 2014;Peirano et al 2017
7;Canada;Nepal;9;2;22;percent;10 to 38;Days;Nepal;2012 to 2014;Peirano et al 2017
7;Canada;Pakistan;1;1;100;percent;10 to 38;Days;Pakistan;2012 to 2014;Peirano et al 2017
7;Canada;Bangladesh;1;1;100;percent;10 to 38;Days;Bangladesh;2012 to 2014;Peirano et al 2017
7;Canada;Sri Lanka;8;0;0;percent;10 to 38;Days;Sri Lanka;2012 to 2014;Peirano et al 2017
8;France;Bangladesh;1;1;100;percent;20;MedianDays;Asia;2012 to 2013;Ruppe et al 2015
8;France;Cambodia;5;4;80;percent;20;MedianDays;Asia;2012 to 2013;Ruppe et al 2015
8;France;China;5;3;60;percent;20;MedianDays;Asia;2012 to 2013;Ruppe et al 2015
8;France;India;53;48;90.6;percent;20;MedianDays;Asia;2012 to 2013;Ruppe et al 2015
8;France;Indonesia;17;6;35.5;percent;20;MedianDays;Asia;2012 to 2013;Ruppe et al 2015
8;France;Laos;2;2;100;percent;20;MedianDays;Asia;2012 to 2013;Ruppe et al 2015
8;France;Malaysia;6;1;16.7;percent;20;MedianDays;Asia;2012 to 2013;Ruppe et al 2015
8;France;Maldives;2;0;0;percent;20;MedianDays;Asia;2012 to 2013;Ruppe et al 2015
8;France;Myanmar;7;6;85.7;percent;20;MedianDays;Asia;2012 to 2013;Ruppe et al 2015
8;France;Nepal;1;1;100;percent;20;MedianDays;Asia;2012 to 2013;Ruppe et al 2015
8;France;New Guinea;1;0;0;percent;20;MedianDays;Asia;2012 to 2013;Ruppe et al 2015
8;France;Sri Lanka;3;3;100;percent;20;MedianDays;Asia;2012 to 2013;Ruppe et al 2015
8;France;Thailand ;37;26;70.3;percent;20;MedianDays;Asia;2012 to 2013;Ruppe et al 2015
8;France;Vietnam ;14;13;92.9;percent;20;MedianDays;Asia;2012 to 2013;Ruppe et al 2015
8;France;Argentina;7;1;14.3;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Bolivia;3;1;33.3;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Brazil;44;15;34.1;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Colombia;10;0;0;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Costa Rica;1;1;100;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Cuba;2;0;0;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Ecuador;7;4;57.1;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;French Guiana;42;2;4.8;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Guadeloupe;1;0;0;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Honduras;1;0;0;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Mexico;5;1;20;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Nicaragua;1;0;0;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Panama;1;0;0;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Peru;26;22;84.6;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Venezuela;4;1;25;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Angola;3;1;33.3;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Benin;11;4;36.4;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Burkina Faso;8;4;50;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Cameroon;24;13;54.2;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Central Aftrica;1;0;0;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Congo;13;8;61.5;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Ethiopia;4;2;50;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Gabon;3;2;66.7;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Ghana;1;1;100;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Guinea;4;3;75;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Guinea-Basseur;3;0;0;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Ivoty Coast;17;8;47.1;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Kenya;6;4;66.7;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Madagasca;7;4;57.1;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Mali;5;1;20;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Mozambique;1;0;0;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Niger;1;1;100;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Sao Tome and Principe;1;0;0;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Senegal;45;17;37.8;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;South africa;1;0;0;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Tanzania;11;7;63.6;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Togo ;12;9;75;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
9;Switzerland;Africa;25;1;4;percent;14;MedianDays;;2007;Tangden et al 2010
9;Switzerland;Asia ;31;10;32;percent;14;MedianDays;;2007;Tangden et al 2010
9;Switzerland;Central America ;6;0;0;percent;14;MedianDays;;2007;Tangden et al 2010
9;Switzerland;India ;8;7;88;percent;14;MedianDays;;2007;Tangden et al 2010
9;Switzerland;Middle east;14;4;29;percent;14;MedianDays;;2007;Tangden et al 2010
9;Switzerland;North America;2;0;0;percent;14;MedianDays;;2007;Tangden et al 2010
9;Switzerland;South America;1;0;0;percent;14;MedianDays;;2007;Tangden et al 2010
9;Switzerland;South EU;16;2;13;percent;14;MedianDays;;2007;Tangden et al 2010
10;Germany;India;81;58;72;percent;28;MedianDays;Southern Asia;2013-2014;Miranda et al 2016
10;Germany;Southeast asia;39;23;59.5;percent;28;MedianDays;Southeast Asia;2013-2014;Miranda et al 2016
10;Germany;Asia outside SEA;7;3;43;percent;28;MedianDays;Asia;2013-2014;Miranda et al 2016
10;Germany;India subcontinent;15;6;40.3;percent;28;MedianDays;Southern Asia;2013-2014;Miranda et al 2016
10;Germany;Africa;27;9;33.6;percent;28;MedianDays;Africa;2013-2014;Miranda et al 2016
10;Germany;Thailand ;16;5;31.5;percent;28;MedianDays;Southeast Asia;2013-2014;Miranda et al 2016
10;Germany;South and Central america;21;3;14.6;percent;28;MedianDays;America;2013-2014;Miranda et al 2016
10;Germany;EU/North America;5;0;0;percent;28;MedianDays;America;2013-2014;Miranda et al 2016
